"CAESAR II 2018  Ver.10.00.00.7700,  (Build 170726)   Date: NOV 16, 2024   Time: 16:18",,,,,,,,,,
Job Name: TB_LB_09_BFP_SUCTION_LINE,,,,,,,,,,
Licensed To: SPLM: Aceplant Co.Ltd,,,,,,,,,,
RESTRAINT SUMMARY EXTENDED REPORT: Loads On Restraints,,,,,,,,,,
Various Load Cases,,,,,,,,,,
,,,,,,,,,,
Node,Load Case,FX N. ,FY N. ,FZ N. ,MX N.m.  ,MY N.m.  ,MZ N.m.  ,DX mm.,DY mm.,DZ mm.
 ,,,,,,,,,,
LOAD CASE DEFINITION KEY,,,,,,,,,,
,,,,,,,,,,
CASE 4 (HYD) WW+HP+H,,,,,,,,,,
CASE 5 (SUS) W+P1+H,,,,,,,,,,
CASE 6 (OPE) W+D1+T1+P1+H,,,,,,,,,,
CASE 7 (OPE) W+D2+T2+P1+H,,,,,,,,,,
CASE 8 (OPE) W+D1+T1+P1+H+U1,,,,,,,,,,
CASE 9 (OPE) W+D1+T1+P1+H-U1,,,,,,,,,,
CASE 10 (OPE) W+D1+T1+P1+H+U2,,,,,,,,,,
CASE 11 (OPE) W+D1+T1+P1+H-U2,,,,,,,,,,
CASE 12 (OPE) W+D1+T1+P1+H+U3,,,,,,,,,,
CASE 13 (OPE) W+D1+T1+P1+H-U3,,,,,,,,,,
CASE 14 (OPE) W+D1+T1+P1+H+WIN1,,,,,,,,,,
CASE 15 (OPE) W+D1+T1+P1+H+WIN2,,,,,,,,,,
CASE 16 (OPE) W+D1+T1+P1+H+WIN3,,,,,,,,,,
CASE 17 (OPE) W+D1+T1+P1+H+WIN4,,,,,,,,,,
, 37(OCC),0,0,0,0,0,0,-1.257,-4.14,-0.435
, 38(EXP),0,0,0,0,0,0,1.969,9.063,-10.178
, 39(EXP),0,0,0,0,0,0,1.888,11.136,-12.749
, 40(OCC),620,0,0,0,0,0,1.031,0.932,0.153
, 41(OCC),0,0,0,0,0,0,-3.516,-4.229,-0.467
,    MAX ,      620/L8,,,,,,   -3.516/L35,   11.136/L39,  -12.784/L7
,,,,,,,,,,
70,,TYPE=Prog Design  VSH;,,,,,,,,
,  4(HYD),0,0,-39534,0,0,0,-0.486,-0.27,0
,  5(SUS),0,0,-36644,0,0,0,-0.488,-0.391,-0.023
,  6(OPE),0,0,-41874,0,0,0,1.723,5.999,-13.85
,  7(OPE),0,0,-43198,0,0,0,1.492,7.56,-17.349
,  8(OPE),0,0,-41873,0,0,0,3.159,6.036,-13.849
,  9(OPE),0,0,-41863,0,0,0,-2.37,6.278,-13.82
, 10(OPE),0,0,-41803,0,0,0,2.641,7.213,-13.662
, 11(OPE),0,0,-42037,0,0,0,0.077,1.085,-14.281
, 12(OPE),0,0,-41864,0,0,0,1.839,5.831,-13.823
, 13(OPE),0,0,-41884,0,0,0,1.606,6.167,-13.876
, 14(OPE),0,0,-41871,0,0,0,3.147,6.322,-13.842
, 15(OPE),0,0,-41864,0,0,0,-2.438,6.085,-13.824
, 16(OPE),0,0,-41821,0,0,0,2.527,7.027,-13.71
, 17(OPE),0,0,-42025,0,0,0,0.503,1.113,-14.249
, 18(OCC),0,0,0,0,0,0,1.436,0.037,0.001
, 19(OCC),0,0,11,0,0,0,-4.093,0.279,0.029
, 20(OCC),0,0,71,0,0,0,0.918,1.214,0.188
, 21(OCC),0,0,-163,0,0,0,-1.646,-4.914,-0.431
, 22(OCC),0,0,10,0,0,0,0.116,-0.168,0.026
, 23(OCC),0,0,-10,0,0,0,-0.116,0.168,-0.026
, 24(OCC),0,0,3,0,0,0,1.424,0.323,0.007
, 25(OCC),0,0,10,0,0,0,-4.16,0.086,0.026
, 26(OCC),0,0,53,0,0,0,0.805,1.028,0.139
, 27(OCC),0,0,-151,0,0,0,-1.22,-4.886,-0.4
, 28(OCC),0,0,-36643,0,0,0,0.948,-0.354,-0.022
, 29(OCC),0,0,-36633,0,0,0,-4.581,-0.111,0.007
, 30(OCC),0,0,-36573,0,0,0,0.43,0.823,0.165
, 31(OCC),0,0,-36807,0,0,0,-2.134,-5.305,-0.454
, 32(OCC),0,0,-36634,0,0,0,-0.372,-0.559,0.004
, 33(OCC),0,0,-36654,0,0,0,-0.604,-0.222,-0.049
, 34(OCC),0,0,-36641,0,0,0,0.936,-0.067,-0.016
, 35(OCC),0,0,-36634,0,0,0,-4.648,-0.305,0.003
, 36(OCC),0,0,-36591,0,0,0,0.317,0.637,0.117
, 37(OCC),0,0,-36795,0,0,0,-1.708,-5.276,-0.422
, 38(EXP),0,0,-5230,0,0,0,2.211,6.39,-13.827
, 39(EXP),0,0,-6554,0,0,0,1.98,7.951,-17.327
, 40(OCC),0,0,-36573,0,0,0,0.948,0.823,0.165
, 41(OCC),0,0,-36807,0,0,0,-4.648,-5.305,-0.454
,    MAX ,,,   -43198/L7,,,,   -4.648/L35,    7.951/L39,  -17.349/L7
,,,,,,,,,,
80,,TYPE=Rigid X w/gap; Rigid Y w/gap;,,,,,,,,
,  4(HYD),0,0,0,0,0,0,-0.631,-0.352,-0.026
,  5(SUS),0,0,0,0,0,0,-0.635,-0.481,-0.046
,  6(OPE),0,0,0,0,0,0,1.888,2.115,-18.587
,  7(OPE),0,456,0,0,0,0,1.521,3,-23.287
,  8(OPE),1788,0,0,0,0,0,3,2.163,-18.587
,  9(OPE),-2528,0,0,0,0,0,-3,2.336,-18.558
, 10(OPE),396,3430,0,0,0,0,3,3,-18.4
