LINE NO,중복,page_num
522-442-AA-2/C1.5,,2
522-442-AB-2/C1.5,,2
522-443-AA-10/C2,,2
522-443-AB-10/C2,,2
522-444-AA-2/C1.5,,2
522-444-AB-2/C1.5,,2
522-445-AA-2/C1.5,,2
522-445-AB-2/C1.5,,2
522-446-AA-10/C2,,2
522-446-AB-10/C2,,2
522-447-AA-2/C1.5,,2
522-447-AB-2/C1.5,,2
522-448-AA-2/C1.5,,2
522-448-AB-2/C1.5,,2
522-449-AA-10/C2,,2
522-449-AB-10/C2,,2
522-450-AA-2/C1.5,,2
522-450-AB-2/C1.5,,2
522-451-AA-10/C2,,2
522-451-AB-10/C2,,2
522-452-AA-2/C1.5,,2
522-452-AB-2/C1.5,,2
522-453-AA-2/C1.5,,2
522-453-AB-2/C1.5,,2
522-455-AA-6/C2,,2
522-455-AB-6/C2,,2
522-460-AA-1-1/2/N,,2
522-460-AB-1-1/2/N,,2
522-461-AA-1-1/2/N,,2
522-461-AB-1-1/2/N,,2
522-462-AA-1-1/2/N,,2
522-462-AB-1-1/2/N,,2
522-480-AA-1/N,,2
522-480-BA-1/N,,2
522-481-AA-1/N,,2
522-481-BA-1/N,,2
522-483-AA-1/N,,2
522-483-AB-1/N,,2
522-483-BA-1/N,,2
522-483-BB-1/N,,2
522-486-AA-1/N,,2
522-486-AB-1/N,,2
522-486-BA-1/N,,2
522-486-BB-1/N,,2
532-BA-8/C1.5,,4
532-BB-8/C1.5,,4
532-BC-8/C1.5,,4
532-BD-8/C1.5,,4
532-BE-8/C1.5,,4
536-NA-6/C1.5,,4
536-NB-6/C1.5,,4
560-A-5/C2.5,,4
560-B-6/C2.5,,4
561-AA-6/C2.5,,4
561-CA-8/C2.5,,4
561-DA-8/C1.5,,4
561-DB-8/C1.5,,4
562-C-8/C1.5,,4
562-D-12/C1.5,,4
562-E-8/C1.5,,4
562-E-12/C1.5,,4
562-G-12/C1.5,,4
562-H-10/C1.5,,4
562-J-6/C1.5,,4
562-KA-8/C1.5,,4
562-LA-6/C1.5,,4
562-LB-6/C1.5,,4
562-MA-8/C1.5,,4
562-PA-5/C1.5,,4
562-PA-6/C1.5,,4
562-QA-5/C1.5,,4
562-QB-5/C1.5,,4
562-RA-6/C1.5,,4
562-SA-5/C1.5,,4
562-SB-5/C1.5,,4
562-UA-5/C1.5,,4
563-AA-6/C1.5,,4
564-AA-4/C2,,4
565-A-1/C1,,4
565-AA-8/C1.5,,4
566-AA-4/C1.5,,4
566-AA-8/C1.5,,4
566-AB-4/C1.5,,4
566-AB-8/C1.5,,4
566-BA-5/C1.5,,4
566-BA-10/C1.5,중복,4
566-BA-10/C1.5,중복,4
566-BA-16/C1.5,중복,4
566-BA-16/C1.5,중복,4
567-AA-4/C1.5,,4
567-AB-4/C1.5,,4
568-AA-1/C1,,4
568-BA-5/C1.5,,4
568-BA-8/C1.5,,4
