LINE,중복
401-A 8/N,
401-B 10/N,
401-C 12/N,
401-CA 12/N,
401-CB 12/N,
401-D 12/N,
401-G 10/N,
401-H 8/N,
401-J 0.5/N,
401-K 0.5/N,
401-L 0.5/N,
401-M 0.5/N,
401-P 0.5/N,
401-Q 0.5/N,
401-R 0.5/N,
401-S 0.5/N,
401-T 0.5/N,
402-A 2.5/N,
402-BA 2.5/N,
402-C 2.5/N,
403-A 1/N,
403-B 0.375/N,
404-A 6/N,
405-A 4/N,
405-B 6/N,
405-C 6/N,
406-A 3/N,
407-AA 1/N,
407-BA 1/N,
409-A 5/N,
410-A 3.5/N,
411-A 3.5/N,
412-A 2/N,
413-A 1/N,
414-AA 1.5/N,
414-BA 1/N,
414-CA 1/N,
415-A 5/N,
415-BA 3.5/N,
415-BB 3/N,
416-A 2/N,
416-B 1.5/N,
416-C 1/N,
416-D 1/N,
417-A 1/N,
418-A 8/N,
419-A 6/N,
419-B 4/N,
419-C 3/N,
420-A 4/N,
420-B 3.5/N,
421-A 8/N,
421-B 12/N,
421-C 0.5/N,
421-D 0.5/N,
421-E 0.375/N,
422-A 2/N,
422-B 1/N,
422-C 0.75/N,
423-A 1/N,
424-A 1/N,
425-A 5/N,
425-B 3.5/N,
425-C 1/N,
425-C 3/N,
426-A 1/N,
429-A 1/N,
431-A 12/N,
431-B 8/N,
431-C 0.5/N,
431-D 0.5/N,
431-E 0.5/N,
431-F 0.5/N,
431-G 0.5/N,
431-H 0.375/N,
435-A 12/N,
435-B 0.5/N,
436-A 10/N,
436-B 0.5/N,
437-A 10/N,
437-B 0.5/N,
440-A 2/N,
440-A 5/N,
441-A 5/N,
450-A 32/N,
450-B 26/N,
450-C 20/N,
451-AA 20/N,
451-AB 20/N,
452-A 12/N,
452-B 12/N,
452-C 12/N,
453-AA 12/N,
453-AB 12/N,
453-C 12/N,
454-A 12/N,
454-BA 12/N,
454-BC 12/N,
455-A 10/N,
456-A 6/N,
456-B 5/N,
457-A 10/N,
458-A 8/N,
459-A 12/N,
460-A 5/N,
460-A 30/N,
461-A 2/N,
461-A 5/N,
461-BB 0.5/N,
462-A 0.5/N,
462-A 4/N,
463-A 5/N,
464-A 1/N,
464-B 3.5/N,
465-A 1/N,
466-AA 6/N,
466-AB 6/N,
466-BA 0.5/N,
467-A 5/N,
467-B 3/N,
471-A 0.75/N,
472-A 0.75/N,
473-A 0.75/N,
474-A 0.75/N,
475-A 0.75/N,
476-A 0.75/N,
477-A 0.75/N,
478-A 1/N,
479-A 0.75/N,
480-A 1/N,
481-A 3/N,
482-A 2.5/N,
483-A 1/N,
484-A 1/N,
485-A 1/N,
486-A 1/N,
487-A 1/N,
488-A 1/N,
489-A 1/N,
490-A 1/N,
491-A 0.5/N,
492-A 0.5/N,
493-A 1/N,
494-A 1/N,
495-C 0.25/N,
496-A 2.5/N,
497-A 2/N,
498-A 2/N,
499-A 2/N,
518-L-TC801-A 0.5/N,
518-L-TC802-A 2/N,
518-L-TC803-A 3/N,
518-L-TC804-A 0.5/N,
518-L-TC808-A 0.5/N,
518-L-TC809-A 0.5/N,
518-L-TC810-A 6/N,
518-L-TC810-B 4/N,
518-L-TC813-A 6/N,
518-L-TC813-B 4/N,
518-L-TC813-C 3/N,
518-L-TC813-D 3/N,
518-L-TC813-E 0.5/N,
518-L-TC813-F 3/N,
518-L-TC813-FA 2.5/N,
518-L-TC813-FB 2.5/N,
518-L-TC814-A 0.5/N,
518-L-TC818-A 4/N,
518-L-TC818-B 3/N,
518-L-TC818-CA 3/N,
518-L-TC818-CB 3/N,
518-L-TC818-D 4/N,
518-L-TC819-A 4/N,
518-L-TC820-A 2.5/N,
518-L-TC821-A 4/N,
518-L-TC821-B 4/N,
518-L-TC822-A 5/N,
518-L-TC823-A 5/N,
518-L-TC824-A 0.5/N,
518-L-TC825-A 0.5/N,
518-L-TC826-A 0.5/N,
518-L-TC828-A 0.5/N,
518-L-TC829-A 0.5/N,
518-L-TC830-A 0.5/N,
518-L-TC830-B 0.5/N,
518-L-TC831-A 3/N,
518-L-TC832-A 0.5/N,
518-L-TC833-A 0.5/N,
518-L-TC834-A 2/N,
518-L-TC835-A 0.5/N,
518-L-TC836-A 0.75/N,
518-L-TC837-A 0.5/N,
518-L-TC838-B 0.5/N,
